date,treatment,sum.female.cocoons,cum.female.cocoons,sum.male.cocoons,cum.male.cocoons,sum.total.cocoons,cum.total.cocoons
5/11/2021,Ca,57,57,55,55,112,112
5/14/2021,Ca,39,96,63,118,102,214
5/17/2021,Ca,13,109,25,143,38,252
5/20/2021,Ca,23,132,43,186,66,318
5/23/2021,Ca,30,162,35,221,65,383
5/26/2021,Ca,14,176,13,234,27,410
5/11/2021,Cb,65,65,78,78,143,143
5/14/2021,Cb,30,95,93,171,123,266
5/17/2021,Cb,19,114,20,191,39,305
5/20/2021,Cb,14,128,56,247,70,375
5/23/2021,Cb,23,151,37,284,60,435
5/26/2021,Cb,9,160,18,302,27,462
5/11/2021,Cc,50,50,70,70,120,120
5/14/2021,Cc,35,85,75,145,110,230
5/17/2021,Cc,17,102,22,167,39,269
5/20/2021,Cc,24,126,49,216,73,342
5/23/2021,Cc,23,149,44,260,67,409
5/26/2021,Cc,10,159,21,281,31,440
5/11/2021,Cd,76,76,69,69,145,145
5/14/2021,Cd,53,129,113,182,166,311
5/17/2021,Cd,24,153,29,211,53,364
5/20/2021,Cd,41,194,43,254,84,448
5/23/2021,Cd,28,222,56,310,84,532
5/26/2021,Cd,12,234,21,331,33,565
5/11/2021,Ce,64,64,85,85,149,149
5/14/2021,Ce,25,89,79,164,104,253
5/17/2021,Ce,13,102,25,189,38,291
5/20/2021,Ce,12,114,39,228,51,342
5/23/2021,Ce,10,124,51,279,61,403
5/26/2021,Ce,0,124,15,294,15,418
5/11/2021,Cf,60,60,96,96,156,156
5/14/2021,Cf,33,93,104,200,137,293
5/17/2021,Cf,17,110,42,242,59,352
5/20/2021,Cf,31,141,50,292,81,433
5/23/2021,Cf,26,167,45,337,71,504
5/26/2021,Cf,9,176,32,369,41,545
5/11/2021,Ra,49,49,31,31,80,80
5/14/2021,Ra,2,51,3,34,5,85
5/17/2021,Ra,1,52,0,34,1,86
5/20/2021,Ra,1,53,0,34,1,87
5/23/2021,Ra,3,56,1,35,4,91
5/26/2021,Ra,2,58,1,36,3,94
5/11/2021,Rb,47,47,31,31,78,78
5/14/2021,Rb,0,47,1,32,1,79
5/17/2021,Rb,0,47,0,32,0,79
5/20/2021,Rb,1,48,0,32,1,80
5/23/2021,Rb,0,48,0,32,0,80
5/26/2021,Rb,0,48,1,33,1,81
5/11/2021,Rc,41,41,20,20,61,61
5/14/2021,Rc,5,46,0,20,5,66
5/17/2021,Rc,0,46,0,20,0,66
5/20/2021,Rc,1,47,0,20,1,67
5/23/2021,Rc,1,48,0,20,1,68
5/26/2021,Rc,0,48,0,20,0,68
5/11/2021,Rd,38,38,3,3,41,41
5/14/2021,Rd,5,43,1,4,6,47
5/17/2021,Rd,0,43,0,4,0,47
5/20/2021,Rd,1,44,0,4,1,48
5/23/2021,Rd,4,48,0,4,4,52
5/26/2021,Rd,3,51,0,4,3,55
